#python /Users/davehuf/Scripts/19_1_4_6_processHAPMIXforR.py probFiles.txt ratesFiles.txt ebPasoHapmixProbs.txt
#chromo	coord	parvAttr
1	157104	0.6
1	379844	0.6
1	659354	0.6
1	681011	0.6
1	982217	0.6
1	992572	0.6
1	993764	0.6
1	999471	0.6
1	999598	0.6
1	999765	0.6
1	1003413	0.4666666666666667
1	1167803	0.4666666666666667
1	1205781	0.4666666666666667
1	1567151	0.3333333333333333
1	1568998	0.3333333333333333
1	1686635	0.3333333333333333
1	1761938	0.3333333333333333
1	1789106	0.7333333333333333
1	1968281	1.0666666666666667
1	2038772	1.0666666666666667
1	2043319	1.0666666666666667
1	2044238	1.0666666666666667
1	2044264	1.0666666666666667
1	2044555	1.0666666666666667
1	2045035	1.0666666666666667
1	2045583	1.0666666666666667
1	2088034	1.0666666666666667
1	2091746	1.0666666666666667
1	2210506	1.0666666666666667
1	2301705	1.0
1	2306521	1.0
1	2428671	1.0
1	2538655	1.0
1	2687631	1.0
1	2693676	1.0
1	2703676	0.6666666666666666
1	2703901	0.6666666666666666
1	2716163	0.8666666666666667
1	2736027	0.5333333333333333
1	2739971	0.5333333333333333
1	2740559	0.5333333333333333
1	2740706	0.5333333333333333
1	2742603	0.5333333333333333
1	2742699	0.5333333333333333
1	2753327	0.5333333333333333
1	2754296	0.5333333333333333
1	2755347	0.5333333333333333
1	2870877	0.6
1	2876641	0.6
1	2895697	1.0
1	2941443	1.0
1	2941620	1.0
1	3027386	1.0
1	3035496	0.8
1	3039078	0.8
1	3040632	0.8
1	3078140	1.0
1	3078783	1.0
1	3181742	0.9333333333333333
1	3185801	0.9333333333333333
1	3186152	0.9333333333333333
1	3186224	0.9333333333333333
1	3186260	0.9333333333333333
1	3191114	0.9333333333333333
1	3194019	0.9333333333333333
1	3195916	1.0
1	3270679	1.0
1	3278670	1.0
1	3282920	0.9333333333333333
1	3284839	0.9333333333333333
1	3365031	0.9333333333333333
1	3365070	0.9333333333333333
1	3365465	0.9333333333333333
1	3368128	0.9333333333333333
1	3406324	0.9333333333333333
1	3406445	0.9333333333333333
1	3407844	0.9333333333333333
1	3407925	0.9333333333333333
1	3665549	1.0
1	3665571	1.0
1	3708114	0.8
1	3708328	0.8
1	3708518	0.8
1	3709187	0.8
1	3709795	0.8
1	3709862	0.8
1	3709888	0.8
1	3733167	0.8666666666666667
1	3742478	0.9333333333333333
1	3830498	1.0
1	3889632	1.0
1	4021601	0.9333333333333333
1	4022585	0.9333333333333333
1	4024827	0.9333333333333333
1	4040725	0.9333333333333333
1	4150727	1.0
1	4193258	1.0
1	4212550	1.0
1	4241458	1.0
1	4306991	1.0666666666666667
1	4308707	1.0666666666666667
1	4357964	1.0
1	4452253	1.0
1	4452909	1.0
1	4608015	0.6666666666666666
1	4609260	0.6666666666666666
1	4609477	0.6666666666666666
1	4610354	0.8
1	4758551	0.9333333333333333
1	4758589	0.9333333333333333
1	4764811	1.0
1	4765903	1.0
1	4766304	1.0
1	4862689	0.8666666666666667
1	4862839	0.8666666666666667
1	4863098	0.8666666666666667
1	4863691	0.8666666666666667
1	4877306	0.8666666666666667
1	4994459	0.8666666666666667
1	5092856	1.0
1	5326925	1.0
1	5326957	1.0
1	5327458	1.0
1	5327583	1.0
1	5338021	1.0
1	5438841	1.0
1	5540876	0.9333333333333333
1	5653264	1.0
1	5732049	1.0
1	5740302	1.0
1	5740354	1.0
1	5740373	1.0
1	5809260	0.6666666666666666
1	5954473	0.6666666666666666
1	6195492	0.9333333333333333
1	6196499	0.9333333333333333
1	6198631	0.9333333333333333
1	6198637	0.9333333333333333
1	6198856	0.9333333333333333
1	6200972	0.9333333333333333
1	6201190	0.9333333333333333
1	6217602	0.9333333333333333
1	6220407	1.0
1	6234278	1.0
1	6234957	0.9333333333333333
1	6236377	0.9333333333333333
1	6242103	0.9333333333333333
1	6246273	0.9333333333333333
