#python /Users/davehuf/Scripts/19_1_4_6_processHAPMIXforR.py probFiles.txt ratesFiles.txt sgChilpHapmixProbs.txt
#chromo	coord	parvAttr
1	157104	1.3333333333333333
1	379844	1.3333333333333333
1	659354	1.3333333333333333
1	681011	1.3333333333333333
1	982217	1.3333333333333333
1	992572	1.3333333333333333
1	993764	1.3333333333333333
1	999471	1.3333333333333333
1	999598	1.3333333333333333
1	999765	1.3333333333333333
1	1003413	1.2666666666666666
1	1167803	1.2666666666666666
1	1205781	1.2
1	1567151	1.2
1	1568998	1.2
1	1686635	1.2
1	1761938	1.2
1	1789106	1.2
1	1968281	1.0666666666666667
1	2038772	1.0666666666666667
1	2043319	1.0666666666666667
1	2044238	1.0666666666666667
1	2044264	1.0666666666666667
1	2044555	1.0666666666666667
1	2045035	1.0666666666666667
1	2045583	1.0666666666666667
1	2088034	1.0666666666666667
1	2091746	1.0666666666666667
1	2210506	1.0666666666666667
1	2301705	1.0
1	2306521	1.0
1	2428671	1.0
1	2538655	1.0666666666666667
1	2687631	1.2
1	2693676	1.2
1	2703676	1.2
1	2703901	1.2
1	2716163	1.0666666666666667
1	2736027	1.0
1	2739971	1.0
1	2740559	1.0
1	2740706	1.0
1	2742603	1.0
1	2742699	1.0
1	2753327	1.0
1	2754296	1.0
1	2755347	1.0
1	2870877	1.0
1	2876641	1.0666666666666667
1	2895697	1.0
1	2941443	1.4
1	2941620	1.4
1	3027386	1.1333333333333333
1	3035496	1.1333333333333333
1	3039078	1.1333333333333333
1	3040632	1.0666666666666667
1	3078140	1.0666666666666667
1	3078783	1.0666666666666667
1	3181742	1.0
1	3185801	1.0
1	3186152	1.0
1	3186224	1.0
1	3186260	1.0
1	3191114	1.0
1	3194019	1.0
1	3195916	1.0
1	3270679	1.0
1	3278670	1.0666666666666667
1	3282920	0.9333333333333333
1	3284839	0.9333333333333333
1	3365031	0.9333333333333333
1	3365070	0.9333333333333333
1	3365465	0.9333333333333333
1	3368128	0.9333333333333333
1	3406324	0.9333333333333333
1	3406445	0.9333333333333333
1	3407844	0.9333333333333333
1	3407925	0.9333333333333333
1	3665549	1.4
1	3665571	1.4
1	3708114	1.1333333333333333
1	3708328	1.1333333333333333
1	3708518	1.1333333333333333
1	3709187	1.1333333333333333
1	3709795	1.1333333333333333
1	3709862	1.1333333333333333
1	3709888	1.1333333333333333
1	3733167	1.0666666666666667
1	3742478	1.2
1	3830498	1.0
1	3889632	1.5333333333333334
1	4021601	1.5333333333333334
1	4022585	1.5333333333333334
1	4024827	1.5333333333333334
1	4040725	1.5333333333333334
1	4150727	1.0
1	4193258	1.0
1	4212550	1.0
1	4241458	1.0
1	4306991	1.4
1	4308707	1.4
1	4357964	1.4
1	4452253	1.0
1	4452909	1.0
1	4608015	1.6
1	4609260	1.6
